Mode,Line,Station,Trip purpose: Home-based work,Trip purpose: Home-based school,Trip purpose: Home-based social activity,Trip purpose: Home-based other,Trip purpose: Non-home-based,Count: Trip purpose,Trip frequency: 6-7 days a week,Trip frequency: 5 days a week,Trip frequency: 3-4 days a week,Trip frequency: 1-2 days a week,Trip frequency: 1-3 days a month,Trip frequency: Less than once a month,Count: Trip frequency,Fare: Monthly pass,Fare: Pay-per-ride,Fare: 1-day or 7-day LinkPass,Fare: Other,Count: Fare,Monthly pass type: Reduced-fare pass,Monthly pass type: Local Bus,Monthly pass type: LinkPass or Express Bus,Monthly pass type: Commuter rail or ferry,Count: Monthly pass type,Pay-per-ride type: Full cash fare on board,Pay-per-ride type: Reduced fare,Pay-per-ride type: mTicket (single/multi-ride),Pay-per-ride type: CharlieCard (plastic),Pay-per-ride type: CharlieTicket (paper),Count: Pay-per-ride type,Access to first MBTA service: Walked or bicycled,Access to first MBTA service: Drove alone,Access to first MBTA service: Carpooled,Access to first MBTA service: Dropped off by personal vehicle,Access to first MBTA service: Dropped off by other vehicle,Count: Access to first MBTA service,Previous transit mode: Bus or Silver Line,Previous transit mode: Rail rapid transit,Previous transit mode: Commuter rail or ferry,Count: Previous transit mode,Use alternative modes: Yes,Use alternative modes: No,Count: Use alternative modes,Alternative modes: Walk,Alternative modes: Bicycle,Alternative modes: Drive alone,Alternative modes: Drive or ride in a carpool,Alternative modes: Take a taxi or use a rideshare company,Alternative modes: Take a private shuttle or other transit,Alternative modes: Take a different MBTA service,Alternative modes: Other,Count: Alternative modes,Usable household vehicles: 0,Usable household vehicles: 1,Usable household vehicles: 2,Usable household vehicles: 3 or more,Count: Usable household vehicles,Vehicles per capita: None,Vehicles per capita: 0.01-0.49,Vehicles per capita: 0.50-0.99,Vehicles per capita: 1.00-1.49,Vehicles per capita: 1.50-1.99,Vehicles per capita: 2 or more,Count: Vehicles per capita,Valid driver's license: Yes,Valid driver's license: No,Count: Valid driver's license,"Household income: Less than $14,500","Household income: $14,500 to $28,999","Household income: $29,000 to $43,499","Household income: $43,500 to $57,999","Household income: $58,000 to $75,999","Household income: $76,000 to $108,499","Household income: $108,500 to $151,999","Household income: $152,000 or more",Household income: Prefer not to say,Count: Household income,Low-income classification: Yes,Low-income classification: No,Count: Low-income classification,Race: American Indian or Alaska Native,Race: Asian,Race: Black or African American,Race: Native Hawaiian or other Pacific Islander,Race: White,Race: Other,Race: Prefer not to say,Count: Race,Hispanic or Latino/Latina: Yes,Hispanic or Latino/Latina: No,Hispanic or Latino/Latina: Prefer not to say,Count: Hispanic or Latino/Latina,Minority classification: Yes,Minority classification: No,Count: Minority classification,Age: Under 18,Age: 18 to 21,Age: 22 to 34,Age: 35 to 44,Age: 45 to 64,Age: 65 or over,Count: Age,Gender: Man,Gender: Woman,Gender: Other,Gender: Prefer not to say,Count: Gender,Ability to understand English: Always,Ability to understand English: Often,Ability to understand English: Sometimes,Ability to understand English: Never,Ability to understand English: Prefer not to say,Count: Ability to understand English
Commuter Rail,Fairmount and Franklin Lines,Readville,400.0,19.0,0.0,13.0,6.0,68.0,39.0,329.0,39.0,32.0,6.0,0.0,69.0,342.0,58.0,0.0,13.0,64.0,0.0,0.0,0.0,341.0,53.0,26.0,0.0,13.0,0.0,19.0,9.0,174.0,148.0,39.0,64.0,0.0,66.0,13.0,0.0,13.0,4.0,238.0,200.0,68.0,0.0,0.0,13.0,39.0,39.0,0.0,168.0,0.0,37.0,90.0,148.0,174.0,45.0,71.0,77.0,64.0,168.0,116.0,0.0,6.0,67.0,361.0,97.0,71.0,19.0,0.0,32.0,19.0,77.0,64.0,39.0,97.0,103.0,70.0,52.0,296.0,54.0,6.0,13.0,97.0,0.0,296.0,13.0,32.0,70.0,26.0,367.0,39.0,67.0,129.0,290.0,65.0,19.0,13.0,129.0,71.0,206.0,19.0,71.0,142.0,316.0,0.0,0.0,71.0,458.0,0.0,0.0,0.0,0.0,71.0
Commuter Rail,Fairmount Line,Newmarket to Morton Street,630.0,62.0,41.0,31.0,31.0,77.0,124.0,496.0,134.0,21.0,31.0,31.0,81.0,599.0,124.0,31.0,10.0,74.0,0.0,0.0,93.0,506.0,58.0,52.0,0.0,31.0,0.0,41.0,12.0,702.0,62.0,0.0,31.0,0.0,77.0,52.0,0.0,0.0,5.0,620.0,155.0,75.0,0.0,62.0,93.0,83.0,114.0,0.0,485.0,0.0,62.0,196.0,310.0,217.0,124.0,82.0,176.0,238.0,207.0,134.0,10.0,0.0,74.0,630.0,196.0,80.0,41.0,31.0,93.0,72.0,165.0,176.0,31.0,83.0,124.0,79.0,165.0,527.0,67.0,10.0,31.0,496.0,0.0,217.0,83.0,41.0,81.0,103.0,651.0,31.0,76.0,589.0,186.0,75.0,41.0,21.0,207.0,217.0,289.0,62.0,81.0,279.0,547.0,0.0,21.0,82.0,847.0,0.0,0.0,0.0,0.0,82.0
Commuter Rail,Fairmount Line,South Station,689.0,24.0,24.0,20.0,20.0,193.0,77.0,524.0,117.0,56.0,16.0,24.0,202.0,580.0,177.0,20.0,12.0,196.0,0.0,0.0,48.0,532.0,144.0,24.0,12.0,64.0,0.0,76.0,44.0,496.0,0.0,0.0,0.0,0.0,123.0,60.0,214.0,28.0,75.0,496.0,286.0,194.0,0.0,40.0,93.0,93.0,56.0,4.0,342.0,4.0,123.0,113.0,294.0,298.0,109.0,202.0,93.0,165.0,294.0,189.0,4.0,4.0,186.0,701.0,109.0,201.0,20.0,20.0,40.0,60.0,137.0,125.0,117.0,133.0,141.0,197.0,81.0,572.0,162.0,16.0,28.0,282.0,4.0,403.0,60.0,56.0,198.0,73.0,653.0,36.0,189.0,359.0,363.0,179.0,12.0,8.0,230.0,149.0,359.0,56.0,202.0,306.0,492.0,0.0,12.0,201.0,806.0,4.0,0.0,0.0,8.0,203.0
Commuter Rail,"Fairmount, Franklin, and Providence/Stoughton Lines",Hyde Park and Fairmount,906.0,41.0,21.0,21.0,48.0,150.0,28.0,775.0,131.0,69.0,21.0,35.0,153.0,754.0,263.0,14.0,0.0,149.0,0.0,0.0,21.0,734.0,109.0,41.0,21.0,118.0,0.0,83.0,38.0,512.0,353.0,41.0,83.0,21.0,146.0,55.0,0.0,0.0,8.0,567.0,477.0,151.0,7.0,35.0,201.0,83.0,28.0,7.0,380.0,7.0,82.0,90.0,360.0,498.0,118.0,154.0,69.0,180.0,408.0,297.0,14.0,0.0,140.0,961.0,97.0,153.0,7.0,35.0,28.0,55.0,145.0,145.0,187.0,207.0,235.0,151.0,69.0,740.0,117.0,21.0,28.0,207.0,0.0,643.0,90.0,131.0,152.0,90.0,865.0,83.0,150.0,297.0,602.0,130.0,21.0,7.0,311.0,173.0,477.0,69.0,153.0,450.0,595.0,0.0,7.0,152.0,1058.0,7.0,0.0,0.0,7.0,155.0
Commuter Rail,Fitchburg Line,Brandeis/Roberts,427.0,65.0,14.0,7.0,28.0,75.0,14.0,398.0,101.0,14.0,14.0,29.0,79.0,369.0,130.0,0.0,22.0,72.0,0.0,0.0,0.0,369.0,51.0,7.0,28.0,72.0,0.0,21.0,18.0,499.0,29.0,7.0,36.0,0.0,79.0,0.0,0.0,0.0,0.0,261.0,297.0,77.0,0.0,87.0,80.0,72.0,72.0,22.0,94.0,0.0,36.0,210.0,188.0,145.0,29.0,79.0,210.0,80.0,166.0,101.0,0.0,0.0,77.0,485.0,87.0,79.0,22.0,22.0,29.0,43.0,101.0,51.0,72.0,109.0,123.0,79.0,72.0,376.0,62.0,0.0,65.0,22.0,0.0,413.0,7.0,80.0,79.0,29.0,456.0,58.0,75.0,109.0,355.0,64.0,22.0,7.0,282.0,116.0,130.0,14.0,79.0,195.0,355.0,0.0,22.0,79.0,565.0,0.0,0.0,0.0,7.0,79.0
Commuter Rail,Fitchburg Line,Concord,331.0,76.0,9.0,8.0,13.0,98.0,9.0,304.0,67.0,36.0,4.0,27.0,100.0,215.0,148.0,0.0,4.0,82.0,0.0,0.0,0.0,215.0,48.0,4.0,44.0,27.0,0.0,71.0,33.0,192.0,188.0,9.0,49.0,4.0,99.0,0.0,0.0,0.0,0.0,233.0,206.0,98.0,0.0,22.0,98.0,85.0,18.0,0.0,72.0,0.0,53.0,4.0,107.0,224.0,103.0,98.0,4.0,54.0,201.0,125.0,22.0,9.0,93.0,376.0,72.0,100.0,4.0,0.0,0.0,4.0,31.0,31.0,72.0,161.0,116.0,94.0,4.0,300.0,68.0,0.0,40.0,18.0,4.0,362.0,4.0,22.0,99.0,9.0,385.0,27.0,94.0,67.0,327.0,88.0,67.0,13.0,49.0,54.0,210.0,49.0,99.0,260.0,170.0,0.0,18.0,100.0,434.0,9.0,0.0,0.0,4.0,100.0
Commuter Rail,Fitchburg Line,Fitchburg and North Leominster,429.0,23.0,23.0,85.0,15.0,75.0,8.0,376.0,77.0,15.0,61.0,61.0,78.0,360.0,161.0,0.0,15.0,70.0,0.0,0.0,0.0,361.0,47.0,38.0,54.0,38.0,0.0,30.0,21.0,115.0,291.0,0.0,153.0,31.0,77.0,0.0,0.0,0.0,0.0,291.0,276.0,74.0,0.0,0.0,215.0,92.0,15.0,8.0,38.0,0.0,40.0,69.0,184.0,253.0,92.0,78.0,69.0,92.0,184.0,199.0,23.0,0.0,74.0,544.0,54.0,78.0,23.0,31.0,15.0,61.0,77.0,100.0,115.0,69.0,107.0,78.0,69.0,422.0,64.0,8.0,46.0,61.0,8.0,422.0,23.0,46.0,78.0,38.0,529.0,31.0,78.0,153.0,383.0,70.0,15.0,38.0,161.0,115.0,207.0,61.0,78.0,291.0,299.0,0.0,0.0,77.0,583.0,8.0,8.0,0.0,0.0,78.0
Commuter Rail,Fitchburg Line,Lincoln,195.0,2.0,5.0,2.0,12.0,89.0,5.0,151.0,39.0,12.0,5.0,7.0,90.0,146.0,61.0,0.0,5.0,87.0,0.0,0.0,0.0,146.0,60.0,5.0,7.0,34.0,0.0,15.0,25.0,51.0,132.0,10.0,27.0,0.0,90.0,0.0,0.0,0.0,0.0,141.0,73.0,88.0,0.0,12.0,105.0,22.0,2.0,0.0,51.0,0.0,59.0,10.0,29.0,141.0,39.0,90.0,10.0,10.0,98.0,81.0,10.0,2.0,86.0,215.0,5.0,90.0,0.0,5.0,5.0,0.0,12.0,20.0,22.0,100.0,51.0,88.0,10.0,154.0,67.0,0.0,10.0,5.0,0.0,200.0,5.0,5.0,89.0,0.0,202.0,7.0,86.0,15.0,185.0,82.0,2.0,0.0,41.0,44.0,100.0,29.0,89.0,110.0,107.0,0.0,2.0,90.0,220.0,0.0,0.0,0.0,0.0,90.0
Commuter Rail,Fitchburg Line,Littleton/495,238.0,0.0,11.0,0.0,8.0,68.0,0.0,155.0,68.0,19.0,0.0,23.0,70.0,181.0,75.0,0.0,0.0,68.0,0.0,0.0,0.0,181.0,48.0,11.0,0.0,45.0,0.0,19.0,20.0,23.0,158.0,19.0,60.0,0.0,69.0,0.0,0.0,0.0,0.0,143.0,113.0,68.0,0.0,19.0,94.0,34.0,0.0,0.0,34.0,0.0,38.0,11.0,41.0,158.0,49.0,69.0,11.0,30.0,106.0,91.0,4.0,0.0,64.0,256.0,4.0,69.0,8.0,0.0,0.0,4.0,11.0,23.0,60.0,94.0,49.0,66.0,8.0,192.0,53.0,0.0,19.0,0.0,0.0,234.0,4.0,8.0,68.0,4.0,245.0,8.0,68.0,23.0,223.0,65.0,0.0,8.0,60.0,60.0,128.0,0.0,68.0,136.0,117.0,0.0,8.0,69.0,249.0,8.0,0.0,0.0,0.0,68.0
Commuter Rail,Fitchburg Line,North Station,2251.0,66.0,57.0,114.0,85.0,542.0,43.0,1653.0,594.0,133.0,90.0,133.0,557.0,1805.0,684.0,5.0,38.0,533.0,0.0,0.0,9.0,1795.0,380.0,81.0,81.0,242.0,0.0,280.0,144.0,1658.0,5.0,5.0,5.0,114.0,376.0,14.0,693.0,152.0,181.0,1382.0,1206.0,545.0,5.0,109.0,670.0,228.0,104.0,5.0,774.0,0.0,296.0,190.0,689.0,1273.0,461.0,550.0,176.0,242.0,1083.0,841.0,95.0,24.0,518.0,2532.0,85.0,551.0,33.0,33.0,66.0,100.0,199.0,304.0,527.0,722.0,575.0,539.0,133.0,1852.0,418.0,19.0,185.0,71.0,9.0,2175.0,57.0,180.0,551.0,76.0,2275.0,161.0,529.0,332.0,1981.0,487.0,19.0,43.0,717.0,484.0,1183.0,171.0,551.0,1225.0,1325.0,5.0,76.0,554.0,2593.0,24.0,9.0,0.0,0.0,553.0
